,Venue Category,Street,0
156,Entertainment Place,Livingstonelaan,2
157,Entertainment Place,Loderlaan,2
158,Entertainment Place,M.A. de Ruyterstraat,3
159,Entertainment Place,Maliebaan,8
160,Entertainment Place,Maliestraat,2
161,Entertainment Place,Mgr. van de Weteringstraat,3
162,Entertainment Place,Minstraat,5
163,Entertainment Place,Moreelsehoek,8
164,Entertainment Place,Mulderstraat,6
165,Entertainment Place,Neude,14
166,Entertainment Place,Nicolaas Beetsstraat,2
167,Entertainment Place,Nieuwe Koekoekstraat,4
168,Entertainment Place,Nieuwegracht,17
169,Entertainment Place,Nieuwegracht aan de Werf,14
170,Entertainment Place,Nieuwekade,8
171,Entertainment Place,Nieuwekamp,13
172,Entertainment Place,Nobelstraat,15
173,Entertainment Place,Olof Palmelaan,2
174,Entertainment Place,Oosterkade,5
175,Entertainment Place,Oranje-Nassaulaan,2
176,Entertainment Place,Oudegracht,13
177,Entertainment Place,Oudegracht aan de Werf,10
178,Entertainment Place,Oudkerkhof,14
179,Entertainment Place,Oudwijkerveldstraat,4
180,Entertainment Place,Pal Maleterstraat,1
181,Entertainment Place,Parkstraat,11
182,Entertainment Place,Prins Hendriklaan,2
183,Entertainment Place,Prof. Zonnebloemlaan,1
184,Entertainment Place,Ridderschapstraat,7
185,Entertainment Place,Rolderdiephof,1
186,Entertainment Place,Rubenslaan,2
187,Entertainment Place,Springweg,10
188,Entertainment Place,Stationsstraat,10
189,Entertainment Place,Steenweg,10
190,Entertainment Place,Tolsteegplantsoen,1
191,Entertainment Place,Tolsteegsingel,5
192,Entertainment Place,Trumanlaan,1
193,Entertainment Place,Van Bijnkershoeklaan,1
194,Entertainment Place,Van Eysingalaan,2
195,Entertainment Place,Van Humboldtstraat,2
196,Entertainment Place,Van Lidth de Jeudestraat,7
197,Entertainment Place,Van Vollenhovenlaan,1
198,Entertainment Place,Van der Helststraat,1
199,Entertainment Place,Vinkenburgstraat,13
200,Entertainment Place,Vondellaan,1
201,Entertainment Place,Voorsterbeeklaan,1
202,Entertainment Place,Voorstraat,13
203,Entertainment Place,Vredenburg,11
204,Entertainment Place,Wagendwarsstraat,5
205,Entertainment Place,Wagenstraat,6
206,Entertainment Place,Weerdsingel O.Z.,7
207,Entertainment Place,Willem Barentszstraat,2
208,Entertainment Place,Willem van Noortplein,2
209,Entertainment Place,Wittevrouwensingel,4
210,Entertainment Place,Wolter Heukelslaan,2
211,Entertainment Place,Wolvenplein,7
212,Entertainment Place,Zakkendragershof,13
213,Entertainment Place,Zuilenstraat,15
214,Food Place,2e Buurkerksteeg,41
215,Food Place,3e Buurkerksteeg,42
216,Food Place,Abstederdijk,6
217,Food Place,Achter St.-Pieter,40
218,Food Place,Adelaarstraat,5
219,Food Place,Adriaanstraat,16
220,Food Place,Adriaen van Ostadelaan,3
221,Food Place,Agnietenstraat,9
222,Food Place,Albert van Dalsumlaan,6
223,Food Place,Alkhof,9
224,Food Place,Andreashof,19
225,Food Place,Arthur van Schendelstraat,5
226,Food Place,Aziëlaan,4
227,Food Place,Barnsteenlaan,6
228,Food Place,Bellamystraat,12
229,Food Place,Bernadottelaan,2
230,Food Place,Biltstraat,24
231,Food Place,Bolstraat,10
232,Food Place,Bouwstraat,14
233,Food Place,Briljantlaan,6
234,Food Place,Buurkerkhof,41
235,Food Place,Buys Ballotstraat,6
236,Food Place,Carry van Bruggenstraat,5
237,Food Place,Croeselaan,4
238,Food Place,De Vooysplantsoen,2
239,Food Place,Detmoldstraat,3
240,Food Place,Domstraat,38
241,Food Place,Dr. H.J. Lovinklaan,3
242,Food Place,Duifstraat,12
243,Food Place,Eligenhof,16
244,Food Place,Emmalaan,1
245,Food Place,Gansstraat,8
246,Food Place,Geertekerkhof,13
247,Food Place,Geertestraat,13
248,Food Place,Gerard Noodtstraat,5
249,Food Place,Griftstraat,8
250,Food Place,Groenestraat,16
251,Food Place,Groenmarktstraat,9
252,Food Place,Hartingstraat,5
253,Food Place,Heemstedelaan,1
254,Food Place,Henriëtte Roland Holststraat,9
255,Food Place,Herculeslaan,1
256,Food Place,Hollandse Toren,41
257,Food Place,Homeruslaan,9
258,Food Place,Huizingalaan,7
259,Food Place,Ina Boudier-Bakkerlaan,4
260,Food Place,Jacob van der Borchstraat,5
261,Food Place,Jacobijnenstraat,40
262,Food Place,Jan van den Doemstraat,3
263,Food Place,Janskerkhof,42
264,Food Place,Jansveld,42
265,Food Place,Jeruzalemstraat,34
266,Food Place,Johan van Oldenbarneveltlaan,14
267,Food Place,Justus van Effenstraat,9
268,Food Place,Jutfaseweg,4
269,Food Place,Kerkstraat,18
270,Food Place,Korte Jansstraat,42
271,Food Place,Korte Jufferstraat,34
272,Food Place,Lange Jufferstraat,35
273,Food Place,Lange Nieuwstraat,19
274,Food Place,Lange Smeestraat,21
275,Food Place,Livingstonelaan,2
276,Food Place,Loderlaan,1
277,Food Place,M.A. de Ruyterstraat,10
278,Food Place,Maliebaan,11
279,Food Place,Maliestraat,9
280,Food Place,Mgr. van de Weteringstraat,10
281,Food Place,Minstraat,1
282,Food Place,Moreelsehoek,35
283,Food Place,Mulderstraat,17
284,Food Place,Neude,40
285,Food Place,Nicolaas Beetsstraat,3
286,Food Place,Nieuwe Koekoekstraat,12
287,Food Place,Nieuwegracht,36
288,Food Place,Nieuwegracht aan de Werf,15
289,Food Place,Nieuwekade,15
290,Food Place,Nieuwekamp,19
291,Food Place,Nobelstraat,38
292,Food Place,Olof Palmelaan,2
293,Food Place,Oosterkade,9
294,Food Place,Oranje-Nassaulaan,3
295,Food Place,Oudegracht,25
296,Food Place,Oudegracht aan de Werf,41
297,Food Place,Oudkerkhof,37
298,Food Place,Oudwijkerveldstraat,10
299,Food Place,Parkstraat,27
300,Food Place,Prins Hendriklaan,8
301,Food Place,Ridderschapstraat,24
