Postcode_Number,District, District_latitude, District_longitue,Neighbourhood,Neigh_latitude,Neigh_longitude,Zipcode,Street,Latitude,Longitude
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TR,Vleeshouwershof,52.06728258,5.189807525
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TP,Schrijnwerkershof,52.06573111,5.190272283
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TN,Rietdekkershoek,52.06680415,5.188186891
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TM,Molenaarshoek,52.06960332,5.188979877
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TL,Molenaarshoek,52.06934562,5.188806261
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TK,Marskramersbaan,52.06829696,5.189438004
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TJ,Marskramersbaan,52.06860653,5.188306765
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TH,Kuipershof,52.0666211,5.190911995
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TG,Klompenmakershof,52.06606717,5.191113732
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TE,Hoenderkopershoek,52.06777934,5.188391167
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TD,Hoenderkopershoek,52.067565,5.188026707
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TC,Hoefsmedenhof,52.0652902,5.189435684
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TB,Beurtschippershoek,52.06940119,5.187294339
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TA,Looierslaantje,52.06516265,5.188692795
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TA,Ambachtsring,52.06516265,5.188692795
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981SB,Koperslagershoek,52.07062888,5.187072584
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PH,Bascule,52.0632861,5.210562839
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PG,Grossier,52.063295,5.210744322
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PE,Doordraai,52.06329668,5.211314666
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PD,Afslag,52.0633256,5.212143188
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PC,Veilingweg,52.06297024,5.211721516
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PB,Veilingweg,52.06321768,5.211149877
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981PA,Fruitweg,52.06347713,5.212158818
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981LG,Kerseboomgaard,52.0660014,5.194088249
