,Title,Postcode,District,Street,Type,Size,Rooms,Furnished,Neighborhood_x,SLatitude,SLongitude,Rent
122,Vondellaan,3521GZ,Wijk 08 Zuidwest,Vondellaan,Apartment,55,1,shell,Zuidwest,52.077957031528996,5.1155989559712,1150
121,Voorsterbeeklaan,3521DJ,Wijk 08 Zuidwest,Voorsterbeeklaan,Apartment,95,1,furnished,Zuidwest,52.080993645589,5.1086736225452,1750
120,Voorsterbeeklaan188,3521DG,Wijk 08 Zuidwest,Voorsterbeeklaan,Apartment,110,2,furnished,Zuidwest,52.080780950065005,5.1083460527278,1750
119,Rolderdiephof,3521DD,Wijk 08 Zuidwest,Rolderdiephof,House,120,3,furnished,Zuidwest,52.079434211833004,5.1090134982185,1750
118,Rolderdiephof,3521DA,Wijk 08 Zuidwest,Rolderdiephof,Apartment,80,2,furnished,Zuidwest,52.081561928079005,5.1076543201515,1215
117,Croeselaan,3521CC,Wijk 08 Zuidwest,Croeselaan,Apartment,120,3,furnished,Zuidwest,52.083756156414005,5.110089893674,1685
116,Croeselaan,3521BR,Wijk 08 Zuidwest,Croeselaan,Apartment,55,1,upholstered,Zuidwest,52.08209451957,5.1110335801617,1295
115,Croeselaan,3521BR,Wijk 08 Zuidwest,Croeselaan,Apartment,55,1,upholstered,Zuidwest,52.08209451957,5.1110335801617,1295
114,Croeselaan247-A,3521BP,Wijk 08 Zuidwest,Croeselaan,Apartment,50,1,furnished,Zuidwest,52.082964595612005,5.110198571343,1850
113,Groenmarktstraat,3521AV,Wijk 08 Zuidwest,Groenmarktstraat,Apartment,95,2,furnished,Zuidwest,52.083625934753,5.107934300819401,1650
112,Groenmarktstraat,3521AV,Wijk 08 Zuidwest,Groenmarktstraat,Apartment,77,2,furnished,Zuidwest,52.083625934753,5.107934300819401,1999
139,Van Kleffenslaan,3527CM,Wijk 08 Zuidwest,Van Kleffenslaan,Apartment,29,1,shell,Zuidwest,52.07833201042,5.0905471971136,760
142,Loderlaan,3527KA,Wijk 08 Zuidwest,Loderlaan,Apartment,71,2,upholstered,Zuidwest,52.079375468467,5.096211560975799,1375
